Model,Train_error,Test_error
NN_w2v_10_200,0.6543355584144592,0.6477830410003662
NN_w2v_10_300,0.6375958919525146,0.6290543079376221
NN_w2v_25_10,0.966681718826294,0.9627370834350586
NN_w2v_25_25,0.6589925289154053,0.6496930122375488
NN_w2v_25_50,0.6459368467330933,0.639108419418335
NN_w2v_25_100,0.6824682354927063,0.6704228520393372
NN_w2v_25_200,0.6512606739997864,0.6407880187034607
NN_w2v_25_300,0.6475476622581482,0.6369359493255615
NN_w2v_50_10,0.8811295628547668,0.874042272567749
NN_w2v_50_25,0.7269394397735596,0.7194498777389526
NN_w2v_50_50,0.6535220742225647,0.6467641592025757
NN_w2v_50_100,0.6652997136116028,0.6550222635269165
NN_w2v_50_200,0.6494401097297668,0.6409183740615845
NN_w2v_50_300,0.6465907692909241,0.6396961212158203
NN_w2v_100_10,0.6749390959739685,0.6697266697883606
NN_w2v_100_25,0.6676725149154663,0.6600614786148071
NN_w2v_100_50,0.6935798525810242,0.6832160949707031
NN_w2v_100_100,0.6441242098808289,0.6349042057991028
NN_w2v_100_200,0.6619347929954529,0.6562153100967407
NN_w2v_100_300,0.679372251033783,0.6728456020355225
NN_w2v_200_10,0.659655749797821,0.652476966381073
NN_w2v_200_25,0.6554863452911377,0.6488821506500244
NN_w2v_200_50,0.7038309574127197,0.6898846626281738
NN_w2v_200_100,0.6472148895263672,0.639363169670105
NN_w2v_200_200,0.6474103331565857,0.6376884579658508
NN_w2v_200_300,0.6555284261703491,0.6491174101829529
NN_w2v_300_10,0.6501287817955017,0.6443780660629272
NN_w2v_300_25,0.656273365020752,0.6465075612068176
NN_w2v_300_50,0.6483763456344604,0.6407878398895264
NN_w2v_300_100,0.6520836353302002,0.6415441036224365
NN_w2v_300_200,0.6426404714584351,0.6341163516044617
NN_w2v_300_300,0.6402519941329956,0.633056104183197
NN_glove_10_10,0.6204431653022766,0.5917322635650635
NN_glove_10_25,0.6912564039230347,0.6647170782089233
NN_glove_10_50,0.6803698539733887,0.6507374048233032
NN_glove_10_100,0.6252597570419312,0.5875465869903564
NN_glove_10_200,0.6239032745361328,0.5911705493927002
NN_glove_10_300,0.6839073896408081,0.6554228663444519
NN_glove_25_10,0.7968528866767883,0.7825250625610352
NN_glove_25_25,0.7638596296310425,0.7395946979522705
NN_glove_25_50,0.6185455322265625,0.5889214277267456
NN_glove_25_100,0.6241283416748047,0.5958446860313416
NN_glove_25_200,0.6477328538894653,0.6204601526260376
NN_glove_25_300,0.6196431517601013,0.5914103984832764
NN_glove_50_10,0.8582555055618286,0.8416867852210999
NN_glove_50_25,0.6565531492233276,0.6376206874847412
NN_glove_50_50,0.6348640322685242,0.6034194827079773
NN_glove_50_100,0.6166413426399231,0.5917718410491943
NN_glove_50_200,0.7713990807533264,0.7443423867225647
NN_glove_50_300,0.7108144164085388,0.6822417378425598
NN_glove_100_10,0.6332026124000549,0.6088894009590149
NN_glove_100_25,0.6358849406242371,0.6020992994308472
NN_glove_100_50,0.741698145866394,0.7269584536552429
NN_glove_100_100,0.663357675075531,0.6365401148796082
NN_glove_100_200,0.6541498899459839,0.6318882703781128
NN_glove_100_300,0.733740508556366,0.7204518914222717
NN_glove_200_10,1.169335126876831,1.1529819965362549
NN_glove_200_25,0.6652138233184814,0.648029625415802
NN_glove_200_50,0.7092684507369995,0.6964191794395447
NN_glove_200_100,1.0853869915008545,1.0666359663009644
NN_glove_200_200,0.6538740396499634,0.6233322620391846
NN_glove_200_300,0.7863903045654297,0.7729861736297607
NN_glove_300_10,0.7078074216842651,0.6796109080314636
NN_glove_300_25,0.6922510266304016,0.6818471550941467
NN_glove_300_50,0.73935467004776,0.7419852018356323
NN_glove_300_100,1.328336238861084,1.3236640691757202
NN_glove_300_200,0.6666260957717896,0.644069254398346
NN_glove_300_300,0.6782320737838745,0.647175133228302
