VIF,variable
58835.1134079674,vec_102
150770.40956540796,vec_103
52684.732962915645,vec_104
126601.54579552004,vec_105
160456.55367013204,vec_106
48439.99592878446,vec_107
26889.730103555867,vec_108
60188.7350867676,vec_109
100737.3992308,vec_110
55347.28375228239,vec_111
127158.91985825484,vec_112
19117.113821802614,vec_113
36348.746661264464,vec_114
374925.3030459394,vec_115
61370.63678822594,vec_116
49992.6994822748,vec_117
69312.13165709877,vec_118
185326.57314111557,vec_119
23529.549129491417,vec_120
61408.5755105029,vec_121
114176.47208597421,vec_122
106946.62908385234,vec_123
68078.33419340618,vec_124
96204.8922736212,vec_125
114082.52666075234,vec_126
214445.27558687524,vec_127
88960.14453853453,vec_128
293294.50032881205,vec_129
58478.70583061322,vec_130
122800.1287427728,vec_131
123498.6263826506,vec_132
47776.51544366466,vec_133
132303.10440603146,vec_134
60927.53194789134,vec_135
63103.59257150013,vec_136
37827.709271002415,vec_137
104051.70625792195,vec_138
149222.8325299438,vec_139
224279.11220869384,vec_140
69526.52570694493,vec_141
21514.704396918314,vec_142
194718.0173573286,vec_143
64130.12213370137,vec_144
20441.717687900036,vec_145
41064.123534377606,vec_146
241294.28432291024,vec_147
305911.17178118957,vec_148
56094.76709565376,vec_149
151540.81958886818,vec_150
84756.49963439682,vec_151
25062.058066121266,vec_152
35528.65267796004,vec_153
202920.13617993434,vec_154
60697.441732757005,vec_155
34584.754261922724,vec_156
21683.706661519234,vec_157
112234.988750666,vec_158
11062.423438537953,vec_159
138632.70881868876,vec_160
50041.29273537485,vec_161
14096.307186582957,vec_162
44191.33896995043,vec_163
140264.47321212612,vec_164
206637.3409240267,vec_165
103824.3618359916,vec_166
97831.42766701162,vec_167
25775.31541186117,vec_168
77305.6644516623,vec_169
143627.176696764,vec_170
356785.193377639,vec_171
120538.86183763221,vec_172
51058.96194503068,vec_173
24847.67923890633,vec_174
142366.27410131902,vec_175
27407.68970580604,vec_176
85638.08537277093,vec_177
18509.500294651258,vec_178
256827.70297412857,vec_179
32936.52330153971,vec_180
19332.930874054622,vec_181
205752.4783266345,vec_182
34755.19544420317,vec_183
39760.12623901915,vec_184
131988.9134526255,vec_185
122362.1571688,vec_186
87283.65688022485,vec_187
260372.71232540396,vec_188
72872.81734265709,vec_189
177487.79935660394,vec_190
102442.76390228685,vec_191
102406.6738723417,vec_192
450571.2558070183,vec_193
227544.92643598502,vec_194
86404.51802616414,vec_195
63248.74479676515,vec_196
28136.604117977477,vec_197
124295.05170067458,vec_198
44679.752731088905,vec_199
68202.22953280182,vec_200
333479.55647473567,vec_201
26908.977251554978,vec_202
138912.1425973856,vec_203
168183.90053344742,vec_204
358895.01886061265,vec_205
44065.59898741229,vec_206
119289.60725955955,vec_207
63903.10154851186,vec_208
39947.85950811162,vec_209
92109.91421481958,vec_210
29668.65580381396,vec_211
62651.307520439135,vec_212
47407.149996775996,vec_213
214816.6843226543,vec_214
36914.381252693376,vec_215
513360.9732018288,vec_216
74243.18005397922,vec_217
115679.00022125982,vec_218
408455.5525131111,vec_219
40586.818056196804,vec_220
162085.1416575705,vec_221
36490.15997802422,vec_222
64062.80718697442,vec_223
158287.44975341688,vec_224
52134.11163254717,vec_225
110161.28615356104,vec_226
98741.51469603478,vec_227
33013.91959183265,vec_228
172521.51255798797,vec_229
49979.54607988053,vec_230
50776.85778975552,vec_231
58304.47797245102,vec_232
41376.75325057735,vec_233
114701.6999260956,vec_234
22142.459249272255,vec_235
233191.69872264282,vec_236
30078.80215109381,vec_237
388894.9427686419,vec_238
345926.87416586967,vec_239
164374.70953242964,vec_240
171683.39860564575,vec_241
37990.25913249155,vec_242
24751.340470256026,vec_243
23512.1816452164,vec_244
131334.13488232583,vec_245
175784.7292078889,vec_246
68792.82706056125,vec_247
103609.83794619651,vec_248
59101.95008352258,vec_249
21458.717821458486,vec_250
233824.75383641,vec_251
44809.50706208141,vec_252
38093.42220502579,vec_253
151884.4761671849,vec_254
33742.18515796346,vec_255
46154.130818007114,vec_256
299192.57438961725,vec_257
459379.3750550715,vec_258
157763.18470699072,vec_259
137494.31073628037,vec_260
71253.73158329495,vec_261
22653.20327064975,vec_262
98262.6990166098,vec_263
49220.80001310087,vec_264
51240.46237366245,vec_265
27203.199139872977,vec_266
67317.06426109155,vec_267
225635.61295188084,vec_268
39472.302947090044,vec_269
77000.32989187412,vec_270
182906.4968127349,vec_271
241810.73877824473,vec_272
64269.032104198566,vec_273
58136.12786114238,vec_274
110855.99555078002,vec_275
48924.12417554393,vec_276
160106.4415928601,vec_277
108964.3359205083,vec_278
89791.40814312932,vec_279
80114.85087245463,vec_280
105770.81935415161,vec_281
55445.878659251764,vec_282
56533.692118180654,vec_283
114051.5246717563,vec_284
29840.642388707365,vec_285
123894.70083373477,vec_286
288197.31889555755,vec_287
185908.4972113088,vec_288
63374.88093695143,vec_289
132125.5273686557,vec_290
24711.847773736383,vec_291
61120.95535714293,vec_292
115799.76939599965,vec_293
87238.64524593709,vec_294
112693.9656995548,vec_295
179524.70925681165,vec_296
261659.13212776234,vec_297
120913.39485042388,vec_298
52264.660913598884,vec_299
